"lambda","borne_a","pp_age_class","time_t","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","mean_n_patients","mean_n_at_risk","sd_n_at_risk","med_n_at_risk","iqr_n_at_risk","mean_cum_cancer","sd_cum_cancer","med_cum_cancer","iqr_cum_cancer","mean_cum_other","sd_cum_other","med_cum_other","iqr_cum_other","mean_cum_total_deaths","sd_cum_total_deaths","med_cum_total_deaths","iqr_cum_total_deaths","mean_cum_censored","sd_cum_censored","med_cum_censored","iqr_cum_censored","se_calibration_ratio"
0.001,Inf,"<65",1,0.915279578121765,0.0665606919580564,5.215,73.058,0.000279189965470547,0.000279189965470547,0.00331129026050769,0.00330110474731885,0.00330115036710839,0.00330707708776057,0.921,923.732,914.229,22.2229705354487,914,30,0.758,0.90013679307439,1,1,8.745,2.93028352921037,9,4,9.503,3.04881719463242,9,4.25,0,0,0,0,1.00179535010317
0.001,Inf,"<65",4,0.915279578121765,0.0665606919580564,5.215,73.058,0.0012685133909079,0.0012685133909079,0.00708249291233456,0.00697176436426132,0.00697145471269575,0.00706501785288614,0.941,923.732,882.732,22.0528116688667,882,30,3.016,1.76886202765305,3,2,37.984,6.02644688535974,38,8,41,6.30426393354083,41,8,0,0,0,0,1.01342089191514
0.001,Inf,"<65",7,0.915279578121765,0.0665606919580564,5.215,73.058,0.00236184433502976,0.00236184433502976,0.0104418921191923,0.0101766455839219,0.0101763628437013,0.00999194421121017,0.933,923.732,845.459,21.7210525325805,846,29,5.215,2.36820256384106,5,3,73.058,8.62885236245777,73,12,78.273,8.96397366260208,78,12,0,0,0,0,0.981877745976277
0.001,Inf,">=65",1,0.660168522219638,0.020093335160266,7.355,358.389,0.00255950307664397,0.00255950307664397,0.00732370075450991,0.00686522945321101,0.00686532369314592,0.0069165430327405,0.918,1076.268,1024.805,22.7777479308381,1025,29,1.217,1.08124006588735,1,2,50.246,6.87784768577996,50,9,51.463,6.95866754875199,51,9,0,0,0,0,1.00746058625695
0.001,Inf,">=65",4,0.660168522219638,0.020093335160266,7.355,358.389,0.0118721171380815,0.0118721171380815,0.0199917160637831,0.0160923567118488,0.0160928719115313,0.0161677666395831,0.866,1076.268,868.566,22.41245104762,869,32,4.615,2.09932898379034,4.5,3,203.087,13.2285458545309,203,18,207.702,13.4145871031183,208,20,0,0,0,0,1.00465390692621
0.001,Inf,">=65",7,0.660168522219638,0.020093335160266,7.355,358.389,0.0243847578921524,0.0243847578921524,0.035465281955384,0.0257646601224423,0.0257649692481158,0.0267315802397195,0.84,1076.268,710.524,21.3816416254365,710,29,7.355,2.69299595752152,7,4,358.389,16.5623667086256,358,23,365.744,16.825503307823,366,22,0,0,0,0,1.03751648147899
0.001,Inf,"Overall",1,0.7779915,0.0283014244511689,12.57,431.447,0.00152176536873223,0.00152176536873223,0.00430211355358219,0.00402562616516368,0.00402599302163492,0.00403000063143903,0.918,2000,1939.034,7.60859610800407,1939,10,1.975,1.43332809552783,2,2,58.991,7.41538312610393,59,10,60.966,7.60859610800407,61,10,0,0,0,0,1.00099543386751
0.001,Inf,"Overall",4,0.7779915,0.0283014244511689,12.57,431.447,0.00704114712378639,0.00704114712378639,0.0116519923883962,0.00928755846013228,0.00928856561863502,0.00928382527670937,0.867,2000,1751.298,14.6119370620293,1752,20,7.631,2.81153761200944,7,3,241.071,14.3327382724442,241,19,248.702,14.6119370620293,248,20,0,0,0,0,0.999489658347664
0.001,Inf,"Overall",7,0.7779915,0.0283014244511689,12.57,431.447,0.0143421176690029,0.0143421176690029,0.0203707060806323,0.0144716518096348,0.0144733826660454,0.0150763006152303,0.833,2000,1555.983,17.886884906312,1555,22.25,12.57,3.65683913680551,12,5,431.447,17.6555064472223,432,23,444.017,17.886884906312,445,22.25,0,0,0,0,1.04165701709797
0.002,Inf,"<65",1,0.910040370957523,0.123886765797732,10.297,72.817,0.000280614441853529,0.000280614441853529,0.00345552090432938,0.0034457861092179,0.00344583139594639,0.00343735383495168,0.935,923.732,913.474,22.2133914285676,913,30,1.517,1.24950881240281,1,1,8.741,2.92788174137746,9,4,10.258,3.18206875500225,10,4,0,0,0,0,0.997539763261579
0.002,Inf,"<65",4,0.910040370957523,0.123886765797732,10.297,72.817,0.00118592781053641,0.00118592781053641,0.00731508635640433,0.00722230626849257,0.00722192632541338,0.0073061404712238,0.94,923.732,879.744,21.9267701052218,879,31,6.078,2.5358127585345,6,4,37.91,6.01665190119057,38,8,43.988,6.55078382857874,44,8,0,0,0,0,1.01166089793994
0.002,Inf,"<65",7,0.910040370957523,0.123886765797732,10.297,72.817,0.00239269345384967,0.00239269345384967,0.0107549156718408,0.0104912693497465,0.0104906283142021,0.0102659496499911,0.929,923.732,840.618,21.6678926888051,840,29,10.297,3.25905084532482,10,4,72.817,8.63168680021565,72,12,83.114,9.26492540945921,83,12,0,0,0,0,0.978582916343836
0.002,Inf,">=65",1,0.654867521597158,0.0393707700141118,14.63,356.819,0.00253571258092999,0.00253571258092999,0.00742458934310885,0.00698149156786451,0.00698164966557129,0.00699311969657541,0.915,1076.268,1023.57,22.8047178266944,1024,29,2.48,1.59378171031674,2,2,50.218,6.8821391906761,50,9,52.698,7.07989554449223,53,9,0,0,0,0,1.0016428826357
0.002,Inf,">=65",4,0.654867521597158,0.0393707700141118,14.63,356.819,0.0118142125825886,0.0118142125825886,0.0200714015374366,0.0162333004417609,0.0162341950776822,0.016265703373176,0.867,1076.268,864.503,22.3286488520815,865,30,9.183,3.02632940534729,9,4,202.582,13.2328524659041,202,18,211.765,13.6241474005676,212,20,0,0,0,0,1.00194085973114
