"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","pp_age_class","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","mean_n_at_risk","sd_n_at_risk","med_n_at_risk","iqr_n_at_risk","mean_n_at_risk_u65","sd_n_at_risk_u65","med_n_at_risk_u65","iqr_n_at_risk_u65","mean_n_at_risk_65_85","sd_n_at_risk_65_85","med_n_at_risk_65_85","iqr_n_at_risk_65_85","mean_n_at_risk_o85","sd_n_at_risk_o85","med_n_at_risk_o85","iqr_n_at_risk_o85","mean_cum_cancer","sd_cum_cancer","med_cum_cancer","iqr_cum_cancer","mean_cum_censored","sd_cum_censored","med_cum_censored","iqr_cum_censored","mean_cum_other","sd_cum_other","med_cum_other","iqr_cum_other","se_calibration_ratio"
0.002,Inf,0.7727185,0.0548195929003057,24.927,429.636,4,"<65",0.00118592781053641,0.00118592781053641,0.00731508635640433,0.00722230626849257,0.00722192632541338,0.0073061404712238,0.94,1744.247,14.8460228814116,1745,20,879.744,21.9267701052218,879,31,847.785,22.2555180367271,848,30,16.718,4.10918013250349,17,5,15.261,4.01983059817675,15,6,0,0,0,0,240.492,14.3574396071191,241,20,1.01166089793994
0.002,Inf,0.7727185,0.0548195929003057,24.927,429.636,7,"<65",0.00239269345384967,0.00239269345384967,0.0107549156718408,0.0104912693497465,0.0104906283142021,0.0102659496499911,0.929,1545.437,18.1075651293849,1545,24,840.618,21.6678926888051,840,29,697.249,21.3648649997246,696,29,7.57,2.75911447981281,7.5,3,24.927,5.12288150506284,25,7,0,0,0,0,429.636,17.6210671074713,430,23,0.978582916343836
0.002,Inf,0.7727185,0.0548195929003057,24.927,429.636,1,">=65",0.00253571258092999,0.00253571258092999,0.00742458934310885,0.00698149156786451,0.00698164966557129,0.00699311969657541,0.915,1937.044,7.79299652218547,1937,10,913.474,22.2133914285676,913,30,991.782,22.5614604025426,992,30,31.788,5.75014087828465,32,7,3.997,2.08406677780112,4,2.25,0,0,0,0,58.959,7.41648995976691,59,10,1.0016428826357
0.002,Inf,0.7727185,0.0548195929003057,24.927,429.636,4,">=65",0.0118142125825886,0.0118142125825886,0.0200714015374366,0.0162333004417609,0.0162341950776822,0.016265703373176,0.867,1744.247,14.8460228814116,1745,20,879.744,21.9267701052218,879,31,847.785,22.2555180367271,848,30,16.718,4.10918013250349,17,5,15.261,4.01983059817675,15,6,0,0,0,0,240.492,14.3574396071191,241,20,1.00194085973114
0.002,Inf,0.7727185,0.0548195929003057,24.927,429.636,7,">=65",0.0241636820745789,0.0241636820745789,0.035425672934132,0.0259172227409106,0.0259184594058509,0.0267664364581518,0.843,1545.437,18.1075651293849,1545,24,840.618,21.6678926888051,840,29,697.249,21.3648649997246,696,29,7.57,2.75911447981281,7.5,3,24.927,5.12288150506284,25,7,0,0,0,0,429.636,17.6210671074713,430,23,1.03271710864534
0.003,Inf,0.7674695,0.0800337250537632,37.227,427.834,1,"<65",0.000277649860106921,0.000277649860106921,0.00360435949769689,0.00359542387732256,0.00359544784262119,0.00356322108815007,0.917,1935.072,7.93257472336326,1935,10,912.715,22.1596666451873,913,29.25,990.626,22.5503135375241,991,29.25,31.731,5.73877796857245,32,7,6.004,2.50963787871523,6,4,0,0,0,0,58.924,7.40696206869504,59,10,0.991036789884948
0.003,Inf,0.7674695,0.0800337250537632,37.227,427.834,4,"<65",0.00121274957746513,0.00121274957746513,0.00750622782595082,0.00741195191147289,0.00741131717440943,0.00753001662685466,0.944,1737.35,15.1621037257166,1737,20,876.866,21.9312339603366,877,29.25,843.881,22.151196683577,844,30,16.603,4.10441679623759,17,5,22.751,4.80729748498146,23,6,0,0,0,0,239.899,14.3295546035156,240,19,1.01601597255277
0.003,Inf,0.7674695,0.0800337250537632,37.227,427.834,7,"<65",0.00250713576332734,0.00250713576332734,0.0111133334379824,0.0108328793504428,0.0108322568357743,0.0105240935284495,0.927,1534.939,18.2584953282479,1535,24,835.881,21.7415623756559,835,29,691.57,21.2050171599259,691,28,7.488,2.75453143809314,7,4,37.227,6.17832037390767,37,8,0,0,0,0,427.834,17.643007672155,428,23,0.971551329330835
0.003,Inf,0.7674695,0.0800337250537632,37.227,427.834,1,">=65",0.00253233542633181,0.00253233542633181,0.00752403221788596,0.00708843598816346,0.00708862375154881,0.00706740026635747,0.914,1935.072,7.93257472336326,1935,10,912.715,22.1596666451873,913,29.25,990.626,22.5503135375241,991,29.25,31.731,5.73877796857245,32,7,6.004,2.50963787871523,6,4,0,0,0,0,58.924,7.40696206869504,59,10,0.997005979448873
0.003,Inf,0.7674695,0.0800337250537632,37.227,427.834,4,">=65",0.0117678085444244,0.0117678085444244,0.0201482310261918,0.0163610932504535,0.0163626902794055,0.0163615798269913,0.87,1737.35,15.1621037257166,1737,20,876.866,21.9312339603366,877,29.25,843.881,22.151196683577,844,30,16.603,4.10441679623759,17,5,22.751,4.80729748498146,23,6,0,0,0,0,239.899,14.3295546035156,240,19,0.999932135095438
0.003,Inf,0.7674695,0.0800337250537632,37.227,427.834,7,">=65",0.023773449791124,0.023773449791124,0.0351188685394404,0.0258592424648054,0.0258616867075364,0.0267950032987552,0.846,1534.939,18.2584953282479,1535,24,835.881,21.7415623756559,835,29,691.57,21.2050171599259,691,28,7.488,2.75453143809314,7,4,37.227,6.17832037390767,37,8,0,0,0,0,427.834,17.643007672155,428,23,1.03608877494239
0.004,Inf,0.7622225,0.104150355872888,49.541,426.014,1,"<65",0.000243946346275877,0.000243946346275877,0.0037108276354115,0.00370466758908185,0.00370465334090095,0.00368953408545778,0.924,1933.042,7.98824436581957,1933,10,911.93,22.1572571417142,912,30,989.436,22.5538595495445,990,29.25,31.676,5.72449070169511,31.5,7,8.074,2.87346146324964,8,4,0,0,0,0,58.884,7.40252263362574,59,10,0.995918847446197
0.004,Inf,0.7622225,0.104150355872888,49.541,426.014,4,"<65",0.00127810560528571,0.00127810560528571,0.00769960600726987,0.00759703313755603,0.00759658389118025,0.00774233172440313,0.94,1730.492,15.2216830749965,1731,20,874.03,21.8118512936627,874,29,839.959,22.1319484488407,841,30,16.503,4.10570917721261,17,5,30.177,5.56404795357028,30,7,0,0,0,0,239.331,14.31371095563,239,19,1.01918597034018
0.004,Inf,0.7622225,0.104150355872888,49.541,426.014,7,"<65",0.00246202698083663,0.00246202698083663,0.0114038325132726,0.0111421623945323,0.0111404635929332,0.0107783133167107,0.928,1524.445,18.4032511979447,1525,25,831.037,21.8005709993086,831,29.25,686,21.1747105852328,686,27,7.408,2.7439141868989,7,4,49.541,7.21251269249069,49,9,0,0,0,0,426.014,17.5456448628614,426,23,0.967492351354909
0.004,Inf,0.7622225,0.104150355872888,49.541,426.014,1,">=65",0.00249533199388203,0.00249533199388203,0.00755919158119662,0.00713872466782362,0.00713902383122548,0.00714293266631325,0.915,1933.042,7.98824436581957,1933,10,911.93,22.1572571417142,912,30,989.436,22.5538595495445,990,29.25,31.676,5.72449070169511,31.5,7,8.074,2.87346146324964,8,4,0,0,0,0,58.884,7.40252263362574,59,10,1.00054753075213
0.004,Inf,0.7622225,0.104150355872888,49.541,426.014,4,">=65",0.0117052704537383,0.0117052704537383,0.0201506492967721,0.0164080768791424,0.0164105032007445,0.0164553365316301,0.868,1730.492,15.2216830749965,1731,20,874.03,21.8118512936627,874,29,839.959,22.1319484488407,841,30,16.503,4.10570917721261,17,5,30.177,5.56404795357028,30,7,0,0,0,0,239.331,14.31371095563,239,19,1.00273199001501
0.004,Inf,0.7622225,0.104150355872888,49.541,426.014,7,">=65",0.0234986978134098,0.0234986978134098,0.0349592394574755,0.0258932227759485,0.0258965297824619,0.0268191678040269,0.849,1524.445,18.4032511979447,1525,25,831.037,21.8005709993086,831,29.25,686,21.1747105852328,686,27,7.408,2.7439141868989,7,4,49.541,7.21251269249069,49,9,0,0,0,0,426.014,17.5456448628614,426,23,1.03562786324328
0.005,Inf,0.7571015,0.126713272476701,61.578,424.219,1,"<65",0.000211842371298108,0.000211842371298108,0.00388797179305543,0.00388390231211265,0.00388413877292312,0.00380979747780982,0.925,1931.021,8.07575239694586,1931,10,911.146,22.1237461598199,911,30,988.253,22.4538006618961,989,29,31.622,5.71242048064984,31,7,10.131,3.25521664953893,10,4,0,0,0,0,58.848,7.40700747669123,59,10,0.980860288609781
