"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","se_calibration_ratio"
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,9.5,0.0217297767193854,0.0217297767193854,0.0316164486266263,0.0229746908078034,0.0229770444587161,0.0228180415129344,0.824,0.993079921742443
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,10,0.0255069600507356,0.0255069600507356,0.0364711720043775,0.0260788902187684,0.0260810582212648,0.0248206560581473,0.793,0.95167365708766
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,10.5,0.0268418270736192,0.0268418270736192,0.0404229033319214,0.0302373085458566,0.0302397399956877,0.0273716178488156,0.786,0.905153875420851
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,11,0.0310193795596498,0.0310193795596498,0.0462365869491506,0.0343030007484436,0.0343044729051773,0.0303437318802424,0.795,0.884541557135042
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,11.5,0.0317317217010804,0.0317317217010804,0.0504755131403627,0.0392720372031754,0.0392736257856397,0.0339082741143706,0.82,0.863385374690032
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,12,0.0360680794488994,0.0360680794488994,0.0574261545183023,0.044707206984533,0.0447085643177139,0.0381458354881758,0.828,0.853210924356659
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,12.5,0.0370508460906955,0.0370508460906955,0.0638637279701591,0.0520427573256226,0.0520434344877753,0.0427655868492757,0.849,0.821728759260136
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,13,0.0413781307464904,0.0413781307464904,0.0753293671135527,0.0629768753208423,0.0629788073547807,0.0478573500860489,0.856,0.759896099912666
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,1,0.00150884241557201,0.00150884241557201,0.00439181537464596,0.00412582133952711,0.00412655610833813,0.00409136345130728,0.914,0.991471663996102
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,4,0.00696372030156097,0.00696372030156097,0.0117007665708104,0.00940564650797448,0.00940760548424356,0.0093746595020112,0.872,0.996497941767696
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,7,0.0142286859230434,0.0142286859230434,0.0204097982543314,0.0146357692637426,0.014639627056939,0.0151390078164026,0.843,1.03411157658056
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,7.5,0.014721750705337,0.014721750705337,0.0213746065989481,0.0154997066358405,0.0155043299654445,0.0163968038110976,0.862,1.05756287744406
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,8,0.017215174531772,0.017215174531772,0.0241370962076374,0.0169220934439424,0.0169270110438982,0.0176977018503874,0.837,1.04553023593418
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,8.5,0.0179484349931601,0.0179484349931601,0.0259532817452568,0.0187518532271809,0.018755753595575,0.0191968377054909,0.84,1.0235172693898
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,9,0.0205960600337202,0.0205960600337202,0.0293249240966973,0.0208824844074834,0.0208851543934558,0.0208627340291348,0.815,0.998926492766172
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,9.5,0.0215040702697413,0.0215040702697413,0.0314593832371405,0.0229691918948209,0.0229738014060875,0.0227843875815406,0.829,0.9917552249539
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,10,0.0252167998165694,0.0252167998165694,0.0362461914476774,0.0260450907773519,0.0260495293518367,0.0247620602022755,0.795,0.950576107070034
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,10.5,0.0265098365385439,0.0265098365385439,0.0402011806355387,0.0302322814861114,0.0302370264569758,0.0272692540571197,0.789,0.901849727053058
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,11,0.0306714466285975,0.0306714466285975,0.0460475872007029,0.0343601748381195,0.0343631120853106,0.03019832585748,0.803,0.878800668068393
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,11.5,0.0313374965496492,0.0313374965496492,0.0501050251719163,0.0391120239483775,0.0391152765852606,0.0337133229439334,0.821,0.861896575637082
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,12,0.0355600535810201,0.0355600535810201,0.0570053432068709,0.0445740791626412,0.0445766623051838,0.0379009944021841,0.831,0.850242984607141
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,12.5,0.0364667500107691,0.0364667500107691,0.0633761236715272,0.0518578489001333,0.0518594118157414,0.0424415022561096,0.849,0.818395364893569
0.002,Inf,0.5681585,0.0466540829718255,40.294,823.389,13,0.0407833971624162,0.0407833971624162,0.0747137580419541,0.0626284750739582,0.0626321238629496,0.047403606052489,0.852,0.756857713403055
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,1,0.00150373933037177,0.00150373933037177,0.00445684374668589,0.00419647604074107,0.00419759979663604,0.00415128626907707,0.909,0.988966664331344
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,4,0.00694565533410831,0.00694565533410831,0.0118158016675389,0.00956106506950169,0.00956360306212663,0.00946222257158459,0.867,0.989399341452855
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,7,0.0140623690735758,0.0140623690735758,0.020341824037612,0.0147002518229183,0.0147056396342614,0.0151975162027135,0.839,1.03344815871226
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,7.5,0.0145596913200533,0.0145596913200533,0.0212878499678139,0.0155316140030393,0.0155379977568286,0.016439633624124,0.863,1.05802780264267
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,8,0.016974156406376,0.016974156406376,0.024034000308133,0.017017020284834,0.0170235421134766,0.0177319883315106,0.835,1.04161567629766
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,8.5,0.0177271559268029,0.0177271559268029,0.0258645621881237,0.018837912914862,0.0188435293543611,0.0192111435521152,0.842,1.01950877624043
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,9,0.0202621799116063,0.0202621799116063,0.0290955206062237,0.0208870316776567,0.0208909026705712,0.0208519800103755,0.821,0.998136860775745
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,9.5,0.0210781975301464,0.0210781975301464,0.0311846656511023,0.0229873754340336,0.0229939488199287,0.0227597878138538,0.826,0.989816407442295
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,10,0.0246843929473644,0.0246843929473644,0.0357842758949245,0.0259138994099564,0.0259203976273,0.0247353519415325,0.802,0.954281346188943
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,10.5,0.0259342762057573,0.0259342762057573,0.0395315337631251,0.029842694870989,0.0298504024407455,0.0272039552868673,0.806,0.91134299917291
0.003,Inf,0.5614135,0.0683466753594291,59.948,817.225,11,0.0299731633913629,0.0299731633913629,0.0450481487203773,0.0336416294698964,0.0336463557715334,0.0300935976724751,0.801,0.894408829200335
